9,E,D,D,D,D,D,X,D,D,D,D
10,B,B,B,B,B,B,B,B,B,B,B
11,D,D,D,D,D,D,D,D,D,D,D
12,B,B,B,B,B,B,B,B,B,B,B
13,E,D,D,D,D,D,D,D,D,D,D
14,C,C,C,C,C,C,C,C,C,C,C
15,C,C,C,C,C,C,C,C,C,C,C
16,B,A,C,D,C,C,D,C,C,D,C
17,C,D,B,C,B,B,C,B,B,B,B
18,E,E,E,E,E,E,E,E,E,E,E
19,D,D,D,D,D,D,D,D,D,D,D
20,A,A,A,A,A,A,A,A,A,A,A
21,E,D,D,D,D,D,D,D,D,D,D
22,A,A,A,A,A,A,A,A,A,A,A
23,C,C,C,C,C,C,C,C,C,C,C
24,E,D,D,E,E,B,C,A,E,C,B
25,B,D,X,X,D,D,D,D,D,D,D
26,A,A,A,A,A,A,A,A,A,A,A
27,D,X,X,X,A,A,X,X,X,X,D
28,B,B,B,B,B,B,B,B,B,B,B
30,E,E,E,E,E,E,E,E,E,E,E
31,E,X,X,X,X,X,X,X,X,X,X
32,A,D,D,X,B,B,D,D,D,D,D
34,C,C,E,C,C,C,C,X,C,C,C
35,D,D,D,D,D,D,D,D,D,D,D
