9,E,E,E,E,E,E,E,E,E,E,E
10,B,B,B,B,B,B,B,B,B,B,B
11,D,D,D,D,D,D,D,D,D,D,D
12,B,B,B,B,B,B,B,B,B,B,B
13,E,D,D,D,D,D,D,D,D,D,D
14,C,C,C,B,C,C,C,C,C,B,C
15,C,C,C,C,C,C,C,C,C,C,C
16,B,A,A,A,A,A,A,A,A,A,A
17,C,C,C,C,C,C,C,C,C,C,C
18,E,E,E,E,E,E,E,E,E,E,E
19,D,D,D,D,D,D,D,D,D,D,D
20,A,A,A,A,A,A,A,A,A,A,A
21,E,E,E,E,D,E,D,E,E,E,E
22,A,A,A,A,A,A,A,A,A,A,A
23,C,C,C,C,C,C,C,C,C,C,C
24,E,E,E,E,E,E,E,E,E,E,E
25,B,B,B,B,B,B,B,B,B,B,B
26,A,C,E,E,E,A,E,A,E,E,E
27,D,E,A,D,D,A,D,D,A,A,D
28,B,B,B,B,A,B,A,E,B,B,B
30,E,E,E,E,E,E,E,E,E,A,E
31,E,D,B,A,B,B,E,D,E,E,B
32,A,A,A,A,A,A,A,A,A,A,A
34,C,E,D,C,E,A,C,C,E,C,C
35,D,D,D,D,D,D,D,D,D,D,D
